max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
4,3,107725135,3,1,2,77928,11,9,20,5,67403027,117,8421.0
5,6,674937235,2,2,4,117519,12,3,17,2,83026921,102,9609.0
4,8,717019373,7,1,10,77950,12,19,21,5,104168700,129,7650.0
4,8,191705607,6,4,13,73628,4,2,23,4,80587879,110,8957.0
2,2,431567718,6,1,5,46692,6,18,20,1,73528503,135,7339.0
2,5,1040988680,2,5,15,38158,16,10,6,7,64352866,105,9361.0
5,6,923187088,2,1,9,32405,16,21,30,8,38206737,141,7021.0
2,1,566431203,6,2,4,58508,11,12,18,4,37077586,136,7241.0
3,7,819810218,8,2,2,24815,14,27,27,7,103355478,108,9084.0
7,2,127870190,8,2,6,90363,16,2,8,1,77587131,87,11405.0
1,4,605348691,7,5,7,114400,13,10,28,5,86269066,121,8149.0
6,1,75727667,2,3,11,31144,6,24,20,1,109184892,124,7951.0
3,5,192069405,2,5,5,88795,13,10,14,8,90278012,105,9453.0
7,2,866553230,5,2,5,8645,10,8,7,3,113926265,125,7895.0
8,6,267495102,4,4,5,11504,13,24,30,5,55540738,98,10108.0
7,8,522825266,8,2,6,51657,8,5,9,3,81448537,125,7909.0
1,1,553501108,3,3,10,20328,11,18,9,7,110570967,115,8609.0
1,6,649650918,5,5,13,111430,15,30,24,8,48176258,128,7673.0
1,4,249598417,8,4,15,52352,15,31,5,8,92815771,75,13220.0
7,3,364650283,8,1,3,61465,11,31,19,3,71258268,146,6777.0
7,6,998604234,5,3,13,130773,7,21,31,1,87808647,112,8826.0
4,6,781713475,2,2,2,89177,11,20,10,6,61420608,129,7626.0
2,6,957347947,6,1,10,31796,15,7,6,4,33655099,109,9104.0
7,8,906133644,6,2,6,9649,11,23,13,4,33775951,168,5834.0
3,8,925737858,2,1,9,55130,6,10,18,1,111975345,169,5826.0
7,3,983036845,8,4,6,55020,8,20,4,5,103786719,148,6664.0
7,7,157367211,5,1,8,114862,10,31,28,7,51699094,147,6730.0
3,2,587233051,5,1,2,5903,9,4,23,2,90578478,135,7304.0
3,7,1052525422,2,3,7,52055,11,26,13,6,98359536,115,8606.0
8,3,743579375,7,5,10,125007,9,10,26,4,69958254,110,8968.0
8,4,876421335,6,2,6,30609,3,31,25,3,96236443,132,7488.0
8,5,465528221,6,2,13,119397,16,3,20,6,98064207,115,8563.0
5,3,953667494,8,5,5,12369,9,24,27,5,80531605,113,8672.0
1,7,1028830454,8,2,8,46967,6,14,11,2,87864448,127,7749.0
5,2,219131278,2,3,15,106002,12,25,2,5,42817910,113,8751.0
3,7,720237241,3,2,8,100520,14,19,14,4,133978394,141,7002.0
5,6,516028262,8,3,4,44316,14,31,16,8,78686919,115,8579.0
6,6,939505554,4,1,9,118309,5,16,17,8,102647769,137,7196.0
7,1,221797677,6,2,8,91908,5,10,18,3,90815341,127,7782.0
2,4,933184544,8,4,14,66913,8,26,26,2,105521722,114,8676.0
1,5,616032025,2,5,12,42432,8,27,29,1,63109896,136,7248.0
8,5,122807283,8,4,5,12383,6,28,2,3,48303599,152,6485.0
5,3,464788608,8,5,9,123368,7,11,27,1,74206158,125,7886.0
6,1,671483199,3,5,9,124838,14,3,29,7,40008897,143,6904.0
2,1,424372841,8,3,3,66858,13,6,10,5,64126449,145,6817.0
3,8,161607871,3,4,13,121986,2,6,9,8,42525330,136,7283.0
4,3,937734789,5,1,14,48505,8,17,25,7,91635806,161,6131.0
7,5,607782636,5,5,13,81019,6,15,31,7,81097454,134,7380.0
7,3,208032776,5,3,10,110451,6,16,23,1,133315639,143,6894.0
4,5,326680381,8,3,16,23256,16,28,7,1,62102091,134,7355.0
5,6,935000236,8,3,4,36048,11,31,23,1,71201920,161,6144.0
1,5,140884229,6,5,4,13068,7,4,28,1,119494272,131,7532.0
2,1,640659902,5,4,11,6405,12,31,5,3,54095747,144,6852.0
1,3,181593500,6,5,10,86336,9,28,29,7,70328561,140,7044.0
3,2,211894186,6,4,16,100923,7,26,14,5,127177538,137,7223.0
7,6,591978936,8,5,15,123413,14,28,11,6,123824755,133,7450.0
4,8,742089929,3,3,11,28979,16,30,6,4,46529030,149,6613.0
5,2,1067304687,4,3,12,73515,16,30,28,2,93520850,142,6981.0
5,6,309943703,2,4,11,42282,16,16,24,6,125784517,147,6706.0
1,3,131895688,4,2,12,114686,6,21,18,6,54947254,145,6788.0
7,5,546557876,4,3,5,128485,8,10,32,4,40586526,140,7072.0
7,5,848527288,7,1,3,129481,8,7,9,6,52785582,151,6490.0
1,5,1042466115,4,3,16,44298,14,7,18,8,84006168,138,7177.0
8,2,11172823,6,4,10,28791,16,17,20,7,95444194,140,7057.0
4,2,130509787,5,3,16,119812,2,11,32,8,58404620,140,7086.0
2,7,1073280451,5,2,13,29493,10,10,11,2,51649663,149,6644.0
1,1,306090104,7,4,2,15629,7,11,17,8,40520052,133,7432.0
7,1,711534009,2,3,7,55046,11,13,8,4,107072115,127,7796.0
4,5,311301617,4,2,7,44437,13,22,29,1,115527931,152,6507.0
2,3,416604729,3,4,5,121981,4,13,7,6,100073622,132,7489.0
1,3,32990673,4,2,9,34504,16,19,16,3,126570941,157,6289.0
7,4,614729384,6,5,6,102703,15,13,11,6,57784006,140,7060.0
8,7,406003911,7,5,2,16185,12,30,22,3,100944210,139,7103.0
7,2,292324654,8,2,6,59634,7,6,24,8,42709606,132,7467.0
8,8,653034949,8,4,2,69545,10,4,28,8,52145220,140,7050.0
4,5,78731078,4,1,4,63924,7,28,9,1,71056026,137,7225.0
8,3,459447767,5,4,12,86327,16,12,21,5,93379073,131,7570.0
8,8,645349201,8,1,6,66603,4,6,23,8,44041622,139,7071.0
6,5,652967662,5,4,5,102213,9,4,18,4,91501064,148,6669.0
8,5,554291774,4,4,7,128765,11,26,6,6,130174235,152,6494.0
8,5,1046724785,6,2,12,8920,11,26,20,1,71645611,138,7144.0
6,7,347915702,7,3,8,23262,13,13,26,5,71647673,135,7322.0
8,4,319415245,3,5,6,67932,7,7,24,5,75568274,158,6253.0
4,5,336614392,4,1,13,30488,14,5,6,6,112325176,131,7525.0
7,4,480430155,3,4,2,109832,16,31,25,6,127520453,126,7861.0
3,3,883833277,2,2,14,98683,7,22,32,3,116922341,157,6310.0
8,7,255722240,5,5,3,53624,12,8,25,7,80335912,140,7047.0
1,2,865757086,5,1,11,52828,9,3,2,6,53253967,145,6821.0
5,1,879991904,6,3,2,38248,4,2,7,8,132867521,137,7202.0
2,8,979905456,5,5,13,43211,3,19,6,7,98025548,150,6594.0
4,1,979015726,2,2,15,129505,10,22,8,1,130874371,133,7431.0
5,1,1007056643,3,5,5,5584,4,29,20,7,61610861,167,5913.0
7,3,625051949,6,2,13,108559,3,24,9,7,65958570,132,7473.0
6,7,780435276,8,1,5,96615,10,29,20,7,79262433,160,6157.0
3,3,743983458,7,5,16,66601,7,18,16,4,94707084,152,6515.0
2,2,868662194,4,2,8,45256,16,15,17,1,125106065,150,6576.0
7,4,784886280,5,2,10,83891,9,22,13,1,128029821,141,7018.0
7,8,978949243,2,3,7,25864,16,20,17,7,87469200,157,6264.0
5,5,230674103,5,2,9,46672,4,10,24,5,125024869,128,7674.0
2,3,351991351,8,2,16,105118,16,16,31,7,63511603,156,6347.0
8,1,936147354,4,3,4,15599,3,20,8,3,69322426,141,7001.0
3,6,492416524,5,4,3,59858,3,17,10,8,55765005,89,11117.0
1,6,951342731,8,4,10,92059,15,20,11,7,43508901,141,6997.0
8,3,293363375,5,5,8,8145,9,31,28,6,99162024,142,6946.0
3,7,335928972,3,4,8,92334,4,5,8,3,69335743,148,6664.0
7,1,312741848,4,5,3,102588,13,10,10,2,34701322,156,6339.0
4,4,563780004,2,5,4,26892,12,32,20,7,34172960,136,7261.0
7,4,197085303,8,3,3,45202,11,13,24,8,124837972,128,7732.0
1,7,378190651,6,5,14,115705,4,21,30,7,92027086,135,7357.0
4,1,208077515,4,5,10,105541,16,16,11,2,81409496,144,6843.0
1,8,434077456,4,5,15,40177,3,21,25,1,84061999,147,6709.0
3,1,1010563989,8,5,8,8023,7,16,11,8,106161293,130,7552.0
4,1,599528142,8,3,4,99524,6,6,26,3,101729617,123,8032.0
4,5,586811367,7,3,4,66575,3,9,11,1,103064807,101,9733.0
3,2,761778961,7,2,8,83019,6,30,15,8,119403385,112,8852.0
8,1,461444972,2,1,15,121177,10,14,25,8,94890324,154,6401.0
7,7,1049264395,2,5,2,71789,14,5,30,3,93530591,95,10319.0
6,2,739293989,7,3,14,6799,12,7,16,7,35729645,131,7516.0
3,2,812484505,8,3,9,48689,16,16,15,3,73901642,113,8744.0
4,8,694922610,7,1,15,66097,8,17,22,5,109656834,112,8784.0
6,4,266643694,2,2,12,55259,13,27,11,1,73312689,135,7311.0
5,3,277428790,6,1,5,94820,12,28,25,8,71144430,135,7311.0
6,2,377502979,6,3,15,33946,3,3,27,8,101692529,135,7311.0
4,4,762290635,2,5,11,52788,10,29,25,5,41601649,135,7311.0
1,1,548968844,3,4,8,13421,5,25,27,7,117656272,135,7311.0
2,2,785077794,6,3,6,67438,6,9,11,1,46209716,135,7311.0
5,3,73578478,7,2,15,99703,10,21,2,8,41027286,135,7311.0
2,7,43418438,6,5,4,73447,13,25,29,2,122667272,135,7311.0
5,7,832505633,3,5,12,109133,5,14,22,8,76244777,135,7311.0
2,1,666725516,4,2,16,87059,7,11,14,1,77996170,135,7311.0
4,4,785780114,4,4,4,125425,9,22,23,7,41827465,135,7311.0
7,6,69114891,4,4,16,26027,8,7,16,8,95410001,135,7311.0
7,7,1000185960,8,3,4,8231,6,21,23,7,130283995,135,7311.0
1,3,476593061,4,5,9,5539,14,12,27,2,83314430,135,7311.0
6,8,133374162,6,2,16,61195,16,19,11,7,76334656,135,7311.0
7,2,557897418,6,1,11,26563,7,30,28,3,96920143,135,7311.0
1,5,1065956078,6,1,13,84293,6,27,2,2,46719398,135,7311.0
2,6,76064030,4,1,2,80693,9,23,15,6,68876128,135,7311.0
4,4,1073202645,5,4,4,118462,2,32,12,7,114221615,135,7311.0
5,5,1001100922,5,5,10,35991,7,16,32,2,44530594,135,7311.0
4,2,694755523,5,5,2,114080,13,9,10,3,94661793,135,7311.0
3,5,768251792,3,1,9,41488,14,13,23,8,99567778,135,7311.0
5,8,1042822860,4,5,14,35124,4,22,25,6,66375135,135,7311.0
2,7,982829890,6,1,9,19947,14,18,32,6,80815656,135,7311.0
7,2,219847537,4,5,6,108892,12,29,15,5,77465468,135,7311.0
6,8,481752149,4,1,5,75265,2,22,8,6,84857025,135,7311.0
2,7,625751483,5,3,16,98144,4,5,17,2,42697729,135,7311.0
5,3,858015617,6,2,14,21258,6,14,16,3,76305377,135,7311.0
5,3,257723993,4,3,3,128987,13,30,28,8,127868232,135,7311.0
4,8,702493074,4,3,10,50617,8,11,10,5,92271100,135,7311.0
5,3,1042065372,5,5,6,109558,6,12,32,6,116494500,135,7311.0
6,4,238944911,6,4,10,63142,15,20,20,8,39751243,135,7311.0
1,2,587916900,2,3,6,125873,8,8,16,4,41932972,135,7311.0
6,2,814632275,7,4,5,6320,15,9,12,2,99367263,135,7311.0
8,8,142992238,7,5,4,40814,13,12,12,1,121902725,135,7311.0
1,4,989142774,5,2,4,42699,15,13,4,6,97375878,135,7311.0
8,3,120051663,4,5,9,78418,2,17,6,1,117851207,135,7311.0
4,8,388000946,8,5,11,40608,3,25,2,6,100982587,135,7311.0
2,4,240725278,8,3,2,70345,9,14,27,8,78243743,135,7311.0
1,4,561618308,8,3,10,100120,11,11,10,3,125465460,135,7311.0
1,8,796702741,4,5,2,21473,4,10,22,7,45388068,135,7311.0
8,1,250885349,4,4,15,103499,3,13,18,2,79074657,135,7311.0
7,6,46352087,7,1,16,35114,4,19,14,4,110450971,135,7311.0
7,2,38194962,6,3,16,96813,10,7,20,1,114484600,135,7311.0
7,8,122329541,4,3,5,96617,6,12,26,3,83434885,135,7311.0
7,2,359479689,5,4,9,38288,2,11,20,8,84923138,135,7311.0
2,8,757047259,5,2,15,122963,13,30,4,8,62790877,135,7311.0
6,6,39533059,5,3,12,43830,2,20,21,6,98234716,135,7311.0
5,4,282689437,4,4,6,111989,5,16,2,6,64689153,135,7311.0
1,4,523387006,6,1,13,43675,14,26,32,3,68155068,135,7311.0
5,7,510050756,8,4,7,123842,8,17,2,3,99571239,135,7311.0
1,1,925809827,5,3,8,123457,3,27,27,6,132967906,135,7311.0
5,1,925392072,8,1,15,113364,11,15,2,4,36520079,135,7311.0
5,1,673751973,7,3,3,10611,4,13,14,7,47319384,135,7311.0
1,5,580561749,7,4,14,40965,5,31,19,4,88384834,135,7311.0
4,4,168930909,7,2,5,50810,12,4,27,8,126045784,135,7311.0
4,4,801216392,5,3,11,67937,12,12,3,1,63661687,135,7311.0
8,2,460379873,4,3,9,23512,7,25,8,6,44309222,135,7311.0
5,4,707224699,5,4,7,129434,11,28,5,8,74430929,135,7311.0
5,6,690681729,3,2,7,88932,3,20,31,5,130588454,135,7311.0
6,6,377071200,7,4,15,7490,15,23,10,3,132462804,135,7311.0
8,5,115727973,6,5,15,56366,11,11,3,8,39631658,135,7311.0
8,4,294972550,5,4,15,127660,15,24,23,1,87704286,135,7311.0
8,4,1019268518,6,4,13,5443,13,22,32,7,38119842,135,7311.0
6,5,262647638,2,3,16,29846,14,6,27,6,121036762,135,7311.0
2,3,162254368,3,2,7,91748,9,28,25,4,58576403,135,7311.0
5,7,618972607,8,3,9,67941,14,19,28,8,131412456,135,7311.0
3,1,935546140,7,4,16,10489,3,8,14,2,100585458,135,7311.0
1,7,511677800,8,1,6,66646,13,13,12,8,105839937,135,7311.0
5,8,987294544,6,3,9,13629,12,20,29,8,68008043,135,7311.0
3,1,53262930,8,3,8,77438,14,32,18,2,80734272,135,7311.0
1,4,484371801,5,3,9,126590,7,12,17,8,125899351,135,7311.0
8,2,230956923,6,1,12,61987,7,16,18,4,116983344,135,7311.0
2,4,722505631,8,2,10,58060,2,19,2,1,90438571,135,7311.0
3,4,903313231,3,5,16,98991,6,18,6,4,95090743,135,7311.0
7,6,69550848,4,2,16,41807,3,12,26,5,107751593,135,7311.0
8,1,85135037,8,5,7,54680,9,3,5,3,37169462,135,7311.0
7,1,540107704,2,4,11,61158,4,22,25,6,75378642,135,7311.0
4,8,462429323,2,2,8,33844,9,22,24,6,99825022,135,7311.0
6,7,309220781,2,5,6,26395,12,7,25,8,115754786,135,7311.0
3,6,536437505,7,1,12,75670,8,11,27,6,69544753,135,7311.0
2,3,956793409,6,5,12,115150,12,24,21,8,126466819,135,7311.0
2,3,151577529,7,5,15,62102,6,16,9,4,64531688,135,7311.0
2,6,1012655117,5,5,5,72035,16,30,14,1,89277424,135,7311.0
2,8,609656302,3,3,13,42803,3,29,29,8,128581785,135,7311.0
8,4,962714049,8,5,2,22156,7,31,22,5,105807852,135,7311.0
8,2,949208269,7,5,12,115878,9,15,14,5,38957995,135,7311.0
8,8,1060603393,4,2,14,83926,6,31,32,2,56569740,135,7311.0
3,4,1002099589,5,4,11,116789,14,4,31,2,92040459,135,7311.0
8,2,386689321,5,3,4,11324,13,9,4,7,64755114,135,7311.0
4,3,887227280,5,5,5,74816,15,9,15,7,61954783,135,7311.0
5,6,726825683,2,1,12,9272,2,24,11,7,108282146,135,7311.0
8,4,456974438,2,3,13,63412,14,23,2,1,73240590,135,7311.0
7,2,845026410,6,4,6,119639,12,13,3,1,49048388,135,7311.0
2,2,791039531,4,3,10,25333,8,28,31,1,39186984,135,7311.0
2,6,197893349,8,3,4,120912,13,7,24,4,49476449,135,7311.0
1,3,548034809,6,4,15,76813,3,18,14,6,59689751,135,7311.0
5,5,845154331,4,5,14,124773,13,18,16,8,70052375,135,7311.0
8,4,882144307,7,2,2,117722,6,23,22,5,36005990,135,7311.0
4,5,41082783,3,1,6,77637,4,15,31,5,39582132,135,7311.0
8,2,390818582,4,3,2,102584,6,27,14,6,78762657,135,7311.0
8,3,882869340,2,3,8,79116,8,3,28,7,128589777,135,7311.0
7,4,306950448,7,3,9,96849,10,14,26,7,104206411,135,7311.0
1,4,792117125,5,5,10,11780,5,14,19,1,105303586,135,7311.0
6,2,738448779,3,2,15,18687,2,9,30,7,65595385,135,7311.0
8,6,1017502898,6,5,8,55958,14,4,30,1,85465136,135,7311.0
5,1,631834127,2,3,11,20023,11,20,22,1,47675053,135,7311.0
4,7,821742785,7,1,14,21042,7,25,9,7,121139423,135,7311.0
5,8,946986131,5,1,2,69423,9,26,23,4,111617995,135,7311.0
1,8,309243429,8,3,6,50540,13,15,6,8,112498696,135,7311.0
1,6,551499356,3,2,2,90434,14,22,21,2,52115505,135,7311.0
8,3,48460175,7,4,15,62986,4,26,29,7,58242019,135,7311.0
7,8,40338162,5,5,13,109970,3,2,17,3,61758413,135,7311.0
6,2,784908740,3,1,16,40916,3,2,21,6,71400125,135,7311.0
8,7,893694006,7,4,13,127282,14,6,7,3,82033835,135,7311.0
2,5,810771233,4,3,16,126982,6,18,13,4,55663395,135,7311.0
1,2,384564009,2,4,15,129231,5,2,27,3,108505446,135,7311.0
4,6,854005938,3,4,7,113345,11,17,31,2,68391122,135,7311.0
8,4,761152797,2,2,13,85465,4,5,28,8,95805755,135,7311.0
6,5,332599782,5,2,8,109416,5,14,3,1,37030608,135,7311.0
3,5,157668043,7,3,3,34679,14,11,11,1,78048076,135,7311.0
1,2,9856119,8,3,6,41342,8,27,19,6,114213279,135,7311.0
4,6,638718483,2,1,13,88725,5,6,18,7,48902497,135,7311.0
2,5,712321148,7,1,8,126979,3,7,24,4,35790735,135,7311.0
1,8,328330162,8,1,11,104393,15,32,6,2,132616330,135,7311.0
3,4,648114514,7,5,11,5735,14,5,23,1,93234352,135,7311.0
7,4,341518334,2,1,9,58063,10,20,23,2,34601958,135,7311.0
4,4,8213964,7,5,3,22291,8,26,25,7,110592599,135,7311.0
3,4,173657157,3,2,5,117069,2,21,14,2,47593477,135,7311.0
2,4,652910170,8,4,11,40956,8,15,22,6,126618951,135,7311.0
5,6,722299418,4,4,4,78311,13,11,10,1,104511941,135,7311.0
3,3,651904476,3,3,11,99436,15,4,3,3,100486727,135,7311.0
1,7,116432846,8,4,5,21711,15,12,31,1,95001822,135,7311.0
4,7,164800234,5,3,4,65507,4,29,2,1,46578005,135,7311.0
6,2,806691128,5,3,8,84909,5,14,10,1,96959923,135,7311.0
3,6,702248815,8,3,7,81571,14,29,26,1,38512775,135,7311.0
1,2,319987622,5,2,12,66801,9,5,27,5,84193872,135,7311.0
8,6,1054419476,3,3,14,23054,14,4,9,5,81399169,135,7311.0
4,5,580595600,7,4,14,34484,5,17,20,2,49630502,135,7311.0
6,4,79308372,8,5,9,81675,2,6,11,3,45111037,135,7311.0
7,5,1071470712,5,1,2,81197,8,12,26,8,69283224,135,7311.0
3,8,978473198,6,1,8,112021,14,18,32,1,97507719,135,7311.0
2,3,182150862,3,2,7,60636,2,17,14,7,131029639,135,7311.0
7,8,109694610,4,5,3,4575,5,27,19,2,112883386,135,7311.0
5,2,763800338,6,1,13,44456,11,12,27,3,106520949,135,7311.0
6,6,621385377,5,2,11,98249,3,4,22,2,57971575,135,7311.0
8,6,75390932,3,2,16,15281,3,17,32,2,115323149,135,7311.0
6,5,553018870,3,1,8,113951,7,11,8,6,43734041,135,7311.0
2,3,401345948,6,5,14,126815,15,15,9,4,35369351,135,7311.0
3,1,446428873,2,2,4,33093,3,9,4,3,130870284,135,7311.0
8,1,353892273,2,3,12,103958,4,15,23,3,51527371,135,7311.0
1,7,975682757,3,2,3,72185,9,22,7,3,111807352,135,7311.0
8,3,735625404,3,4,15,80973,10,28,12,4,35028358,135,7311.0
8,2,870053737,7,2,10,128529,12,21,27,1,34172260,135,7311.0
2,5,728048769,4,1,3,77851,2,31,12,8,55150585,135,7311.0
6,5,771532954,6,4,16,13373,7,3,26,8,82344500,135,7311.0
8,6,582945265,6,3,3,39511,15,11,21,8,79761775,135,7311.0
8,5,615842262,7,2,14,128719,11,16,29,1,119754494,135,7311.0
1,6,363060392,4,3,14,4882,11,21,19,5,44949677,135,7311.0
2,4,59024982,4,1,10,50730,5,27,26,1,121531567,135,7311.0
2,2,967437914,7,4,4,116701,14,26,17,7,114409351,135,7311.0
5,4,840682583,6,2,10,92056,5,24,32,5,92741560,135,7311.0
1,3,361196349,5,3,7,97957,15,16,23,4,88537450,135,7311.0
8,7,45588285,7,5,13,125168,6,16,27,8,63642419,135,7311.0
8,7,688874250,5,1,5,43263,13,18,32,5,107526804,135,7311.0
8,4,710609558,4,4,11,123757,7,13,17,5,107540339,135,7311.0
4,6,811504330,5,5,14,35008,4,28,24,6,102266407,135,7311.0
8,4,180448102,3,3,12,90869,2,18,4,8,121336899,135,7311.0
8,3,91388854,5,4,15,92002,8,5,32,4,96142564,135,7311.0
8,2,831276039,3,1,14,120873,8,16,15,1,97860328,135,7311.0
5,3,512196801,2,1,12,99526,4,22,13,1,43798260,135,7311.0
1,6,107980473,6,1,12,7664,3,8,8,3,68679856,135,7311.0
1,7,306553795,3,1,14,106610,12,2,3,3,35776859,135,7311.0
4,2,1063320454,6,3,16,25877,13,25,16,4,51515702,135,7311.0
3,1,716697278,2,5,9,37664,9,18,8,8,89646391,135,7311.0
8,3,242405287,2,4,8,7549,3,25,26,4,129049609,135,7311.0
1,3,789905501,8,1,11,67281,4,24,7,3,41332424,135,7311.0
8,4,810342856,7,2,9,9332,13,5,4,7,64220759,135,7311.0
4,5,293863732,6,4,4,20220,7,11,32,6,77433472,135,7311.0
5,7,393168754,3,1,6,70576,14,26,28,6,79842032,135,7311.0
4,1,352540983,5,3,13,85079,2,9,26,1,47136590,135,7311.0
4,7,935719762,3,5,9,92596,3,10,3,6,101507242,135,7311.0
4,4,178877832,2,1,9,22794,9,10,6,1,49540941,135,7311.0
8,6,982851387,2,5,7,53408,16,22,15,6,58831469,135,7311.0
4,2,290736042,7,2,14,122105,15,14,21,1,90575522,135,7311.0
8,4,409955038,5,1,14,110380,4,9,25,3,110981848,135,7311.0
2,5,1042688909,2,5,5,12543,15,22,23,6,46964366,135,7311.0
5,2,826177186,7,2,2,32864,16,5,11,8,55430700,135,7311.0
8,8,309583005,6,1,15,58953,3,30,30,8,78795466,135,7311.0
2,8,272554899,6,3,6,14399,11,21,2,3,80000648,135,7311.0
3,6,303489452,6,4,12,40882,13,8,29,3,97084441,135,7311.0
7,8,713506038,7,1,12,13473,10,24,22,8,36640069,135,7311.0
3,4,533199824,4,1,6,48745,6,20,4,1,55907606,135,7311.0
7,8,599310115,5,3,15,70741,8,30,6,3,125081777,135,7311.0
5,4,287761202,3,4,2,12194,3,23,29,7,48987734,135,7311.0
8,5,63154366,2,5,12,52612,7,21,15,7,85427061,135,7311.0
2,6,745339994,3,4,13,108287,9,7,5,3,85406421,135,7311.0
3,7,243010820,7,4,12,63881,7,21,31,7,100265906,135,7311.0
1,7,591130302,8,1,11,117687,9,30,22,6,68670517,135,7311.0
2,5,967424984,4,4,8,25268,13,5,14,4,51465888,135,7311.0
1,1,660669156,8,3,5,69883,5,7,23,4,125011975,135,7311.0
4,3,801077595,2,5,2,26057,7,26,17,1,96654991,135,7311.0
7,5,567569331,2,2,5,33089,14,32,18,2,99914947,135,7311.0
5,1,425097186,4,3,3,64178,16,12,4,3,40920142,135,7311.0
